date,Target Station,MAE,MAPE,RMSE,MSE
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:14:50,前门,9.275783,40.006330609321594,19.38431290796923,375.7516,0.8546636059853022
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:18:22,榆垡,10.55903,34.989821910858154,15.401869702475452,237.21759,0.9299028008723893
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:21:51,琉璃河,12.064813,35.772812366485596,16.11715152383285,259.76257,0.9085392271665746
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:24:38,永乐店,10.606109,30.250263214111328,16.178963196004133,261.75885,0.9271862131350093
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:45:20,房山,6.014022,38.06486129760742,8.58045491468656,73.62421,0.9627021382969603
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:47:15,天坛,9.451488,46.25844359397888,12.65247821883622,160.0852,0.914887285712845
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:51:16,云岗,5.0054245,29.287606477737427,7.346039370544767,53.964294,0.968539707210874
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:54:17,东四环,8.566936,76.19409561157227,10.937705424968206,119.6334,0.9486608741126906
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:02:31,琉璃河,9.349182,28.66159677505493,13.385253968592114,179.16502,0.936917121445568
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:08:27,房山,6.5389714,41.56387448310852,9.081328097780151,82.47052,0.9588014928872123
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:10:59,天坛,6.8793645,39.849093556404114,10.047282019360384,100.947876,0.9483900627370494
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:13:37,云岗,5.6839767,31.489700078964233,7.9658556899154656,63.454857,0.9629505697536828
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:17:16,东四环,6.2675877,40.64188003540039,8.90035483692333,79.21632,0.9674834747958918
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:21:17,官园,6.9163136,72.10200428962708,9.20578239170139,84.74643,0.9567160903655089
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:24:28,东四,5.896871,33.9477002620697,9.542967550782773,91.06823,0.9578784791739088
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:28:04,北部新区,5.647931,30.468174815177917,9.078748566686345,82.423676,0.9496893393100575
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:31:58,丰台花园,6.477797,32.76516497135162,9.159898050732043,83.90373,0.9611334392686269
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:34:40,东高村,6.5651956,53.544408082962036,9.623529098875034,92.61231,0.9463446999134515
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:39:30,古城,5.709164,26.481902599334717,8.069803404652811,65.12173,0.9646896577965671
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:43:48,大兴,7.2171397,46.917855739593506,10.554507871690381,111.39764,0.9536955944543368
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:46:37,南三环,6.7083535,26.90078914165497,10.528833672395844,110.85634,0.9581971485736345
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:55:46,前门,9.081329,38.69338929653168,18.38498961157112,338.00784,0.8692624643061688
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 12:59:30,榆垡,10.708288,41.36018455028534,15.324880896349724,234.85197,0.9306018350800067
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 13:02:28,琉璃河,10.199118,31.162646412849426,14.535714724893184,211.287,0.9256071746222094
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 13:05:09,永乐店,10.236405,30.94673454761505,15.885174231841983,252.33876,0.929806606187911
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 13:34:40,房山,7.884958,61.007797718048096,10.471149590894154,109.64497,0.9452263788079911
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
